C90584 $B3 $09         LDA ($09,S),Y [C60ABE] = $00    A:00C6 X:0034 Y:0001 S:036A D:0000 DB:C6 P:34 V:21  H:73 
C90586 $F0 $03         BEQ $C9058B                     A:0000 X:0034 Y:0001 S:036A D:0000 DB:C6 P:36 V:21  H:84 
C9058B $C2 $20         REP #$20                        A:0000 X:0034 Y:0001 S:036A D:0000 DB:C6 P:36 V:21  H:89 
C9058D $A0 $02         LDY #$02                        A:0000 X:0034 Y:0001 S:036A D:0000 DB:C6 P:16 V:21  H:93 
C9058F $B3 $09         LDA ($09,S),Y [C60ABF] = $0001  A:0000 X:0034 Y:0002 S:036A D:0000 DB:C6 P:14 V:21  H:96 
C90591 $A2 $40         LDX #$40                        A:0001 X:0034 Y:0002 S:036A D:0000 DB:C6 P:14 V:21  H:109
C90593 $22 $46 $11 $C0 JSL $C01146                     A:0001 X:0040 Y:0002 S:036A D:0000 DB:C6 P:14 V:21  H:112
C01146 $08             PHP                             A:0001 X:0040 Y:0002 S:0367 D:0000 DB:C6 P:14 V:21  H:126
C01147 $E2 $20         SEP #$20                        A:0001 X:0040 Y:0002 S:0366 D:0000 DB:C6 P:14 V:21  H:131
C01149 $48             PHA                             A:0001 X:0040 Y:0002 S:0366 D:0000 DB:C6 P:34 V:21  H:145
C0114A $EB             XBA                             A:0001 X:0040 Y:0002 S:0365 D:0000 DB:C6 P:34 V:21  H:150
C0114B $48             PHA                             A:0100 X:0040 Y:0002 S:0365 D:0000 DB:C6 P:36 V:21  H:155
C0114C $B5 $01         LDA $01,X [000041] = $00        A:0100 X:0040 Y:0002 S:0364 D:0000 DB:C6 P:36 V:21  H:160
C0114E $48             PHA                             A:0100 X:0040 Y:0002 S:0364 D:0000 DB:C6 P:36 V:21  H:166
C0114F $A3 $03         LDA $03,S [000366] = $01        A:0100 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:36 V:21  H:171
C01151 $EB             XBA                             A:0101 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:34 V:21  H:178
C01152 $B5 $00         LDA $00,X [000040] = $34        A:0101 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:34 V:21  H:182
C01154 $48             PHA                             A:0134 X:0040 Y:0002 S:0363 D:0000 DB:C6 P:34 V:21  H:189
C01155 $8F $02 $42 $00 STA $004202                     A:0134 X:0040 Y:0002 S:0362 D:0000 DB:C6 P:34 V:21  H:194
C01159 $EB             XBA                             A:0134 X:0040 Y:0002 S:0362 D:0000 DB:C6 P:34 V:21  H:201
C0115A $8F $03 $42 $00 STA $004203                     A:3401 X:0040 Y:0002 S:0362 D:0000 DB:C6 P:34 V:21  H:206
C0115E $EA             NOP                             A:3401 X:0040 Y:0002 S:0362 D:0000 DB:C6 P:34 V:21  H:213
C0115F $EA             NOP                             A:3401 X:0040 Y:0002 S:0362 D:0000 DB:C6 P:34 V:21  H:216
C01160 $EA             NOP                             A:3401 X:0040 Y:0002 S:0362 D:0000 DB:C6 P:34 V:21  H:219
