C16EBC $85 $14         STA $14 [0000D4] = $0D31        A:0D31 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:308
C16EBE $BD $1E $E3     LDA $E31E,X [7FE322] = $FDE0    A:0D31 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:nvmxdIzc V:62  H:317
C16EC1 $18             CLC                             A:FDE0 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:NvmxdIzc V:62  H:326
C16EC2 $65 $1C         ADC $1C [0000DC] = $0001        A:FDE0 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:NvmxdIzc V:62  H:329
C16EC4 $9D $1E $E3     STA $E31E,X [7FE322] = $FDE0    A:FDE1 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:NvmxdIzc V:62  H:337
C16EC7 $18             CLC                             A:FDE1 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:NvmxdIzc V:63  H:7  
C16EC8 $6D $B6 $E3     ADC $E3B6 [7FE3B6] = $00F8      A:FDE1 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:NvmxdIzc V:63  H:10 
C16ECB $9D $58 $E3     STA $E358,X [7FE35C] = $FDE0    A:FED9 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:NvmxdIzc V:63  H:19 
C16ECE $20 $DC $8A     JSR $8ADC [C18ADC] = $18A6      A:FED9 X:0004 Y:020C S:03F7 D:00C0 DB:7F P:NvmxdIzc V:63  H:29 
C18ADC $A6 $18         LDX $18 [0000D8] = $0004        A:FED9 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:NvmxdIzc V:63  H:39 
C18ADE $E0 $08 $00     CPX #$0008                      A:FED9 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:63  H:47 
C18AE1 $D0 $01         BNE $C18AE4                     A:FED9 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:NvmxdIzc V:63  H:52 
C18AE4 $FE $4E $E3     INC $E34E,X [7FE352] = $0000    A:FED9 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:NvmxdIzc V:63  H:56 
C18AE7 $A5 $14         LDA $14 [0000D4] = $0D31        A:FED9 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:63  H:72 
C18AE9 $4A             LSR                             A:0D31 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:63  H:80 
C18AEA $4A             LSR                             A:0698 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzC V:63  H:83 
C18AEB $4A             LSR                             A:034C X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:63  H:86 
C18AEC $8D $C4 $E3     STA $E3C4 [7FE3C4] = $0187      A:01A6 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:63  H:89 
C18AEF $BD $76 $E3     LDA $E376,X [7FE37A] = $1488    A:01A6 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:63  H:98 
C18AF2 $4A             LSR                             A:1488 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:63  H:108
C18AF3 $4A             LSR                             A:0A44 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:63  H:111
C18AF4 $4A             LSR                             A:0522 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:63  H:114
C18AF5 $8D $C6 $E3     STA $E3C6 [7FE3C6] = $0291      A:0291 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:63  H:117
C18AF8 $BF $0E $6F $C1 LDA $C16F0E,X [C16F12] = $E252  A:0291 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:63  H:125
C18AFC $8D $C8 $E3     STA $E3C8 [7FE3C8] = $E1D2      A:E252 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:NvmxdIzc V:63  H:144
C18AFF $AD $B4 $E3     LDA $E3B4 [7FE3B4] = $001B      A:E252 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:NvmxdIzc V:63  H:153
C18B02 $1A             INC                             A:001B X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:63  H:161
C18B03 $1A             INC                             A:001C X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:63  H:164
C18B04 $8D $C0 $E5     STA $E5C0 [7FE5C0] = $001D      A:001D X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:63  H:167
C18B07 $A6 $18         LDX $18 [0000D8] = $0004        A:001D X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:63  H:176
C18B09 $AD $E2 $E3     LDA $E3E2 [7FE3E2] = $8000      A:001D X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:63  H:184
C18B0C $10 $13         BPL $C18B21                     A:8000 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:NvmxdIzc V:63  H:193
C18B0E $A5 $18         LDA $18 [0000D8] = $0004        A:8000 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:NvmxdIzc V:63  H:196
C18B10 $4A             LSR                             A:0004 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:63  H:204
C18B11 $CD $72 $E4     CMP $E472 [7FE472] = $0000      A:0002 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzc V:63  H:207
C18B14 $D0 $0B         BNE $C18B21                     A:0002 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzC V:63  H:216
C18B21 $AD $E4 $E3     LDA $E3E4 [7FE3E4] = $0000      A:0002 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIzC V:63  H:220
C18B24 $10 $13         BPL $C18B39                     A:0000 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIZC V:63  H:229
C18B39 $AD $E6 $E3     LDA $E3E6 [7FE3E6] = $0000      A:0000 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIZC V:63  H:233
C18B3C $10 $13         BPL $C18B51                     A:0000 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIZC V:63  H:242
C18B51 $AD $E8 $E3     LDA $E3E8 [7FE3E8] = $0000      A:0000 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIZC V:63  H:246
C18B54 $10 $13         BPL $C18B69                     A:0000 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIZC V:63  H:255
C18B69 $AD $EA $E3     LDA $E3EA [7FE3EA] = $0000      A:0000 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIZC V:63  H:259
C18B6C $10 $13         BPL $C18B81                     A:0000 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIZC V:63  H:268
C18B81 $AD $EC $E3     LDA $E3EC [7FE3EC] = $0000      A:0000 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIZC V:63  H:272
C18B84 $10 $13         BPL $C18B99                     A:0000 X:0004 Y:020C S:03F5 D:00C0 DB:7F P:nvmxdIZC V:63  H:291
