7E9897 $5C $00 $E1 $CA JMP $CAE100                     A:0000 X:0000 Y:FFFE S:0377 D:0000 DB:7E P:06 V:20  H:111
CAE100 $22 $A1 $DF $CB JSL $CBDFA1                     A:0000 X:0000 Y:FFFE S:0377 D:0000 DB:7E P:06 V:20  H:118
C04770 $1A             INC                             A:0000 X:0000 Y:0000 S:0363 D:0000 DB:7E P:05 V:23  H:148
C04771 $C5 $30         CMP $30 [000030] = $0003        A:0001 X:0000 Y:0000 S:0363 D:0000 DB:7E P:05 V:23  H:151
C04773 $B0 $0F         BCS $C04784                     A:0001 X:0000 Y:0000 S:0363 D:0000 DB:7E P:84 V:23  H:158
C04775 $80 $02         BRA $C04779                     A:0001 X:0000 Y:0000 S:0363 D:0000 DB:7E P:84 V:23  H:161
C04779 $E8             INX                             A:0001 X:0000 Y:0000 S:0363 D:0000 DB:7E P:84 V:23  H:166
C0477A $E8             INX                             A:0001 X:0001 Y:0000 S:0363 D:0000 DB:7E P:04 V:23  H:169
C0477B $E0 $20 $00     CPX #$0020                      A:0001 X:0002 Y:0000 S:0363 D:0000 DB:7E P:04 V:23  H:172
C0477E $90 $E4         BCC $C04764                     A:0001 X:0002 Y:0000 S:0363 D:0000 DB:7E P:84 V:23  H:176
C04764 $BD $5E $88     LDA $885E,X [7E8860] = $0000    A:0001 X:0002 Y:0000 S:0363 D:0000 DB:7E P:84 V:23  H:181
C04767 $D0 $0E         BNE $C04777                     A:0000 X:0002 Y:0000 S:0363 D:0000 DB:7E P:06 V:23  H:191
C04769 $A5 $32         LDA $32 [000032] = $0001        A:0000 X:0002 Y:0000 S:0363 D:0000 DB:7E P:06 V:23  H:194
C0476B $D0 $01         BNE $C0476E                     A:0001 X:0002 Y:0000 S:0363 D:0000 DB:7E P:04 V:23  H:201
C0476E $E6 $32         INC $32 [000032] = $0001        A:0001 X:0002 Y:0000 S:0363 D:0000 DB:7E P:04 V:23  H:205
C04770 $1A             INC                             A:0001 X:0002 Y:0000 S:0363 D:0000 DB:7E P:04 V:23  H:218
C04771 $C5 $30         CMP $30 [000030] = $0003        A:0002 X:0002 Y:0000 S:0363 D:0000 DB:7E P:04 V:23  H:221
C04773 $B0 $0F         BCS $C04784                     A:0002 X:0002 Y:0000 S:0363 D:0000 DB:7E P:84 V:23  H:228
C04775 $80 $02         BRA $C04779                     A:0002 X:0002 Y:0000 S:0363 D:0000 DB:7E P:84 V:23  H:231
C04779 $E8             INX                             A:0002 X:0002 Y:0000 S:0363 D:0000 DB:7E P:84 V:23  H:235
C0477A $E8             INX                             A:0002 X:0003 Y:0000 S:0363 D:0000 DB:7E P:04 V:23  H:238
C0477B $E0 $20 $00     CPX #$0020                      A:0002 X:0004 Y:0000 S:0363 D:0000 DB:7E P:04 V:23  H:241
C0477E $90 $E4         BCC $C04764                     A:0002 X:0004 Y:0000 S:0363 D:0000 DB:7E P:84 V:23  H:246
C04764 $BD $5E $88     LDA $885E,X [7E8862] = $0000    A:0002 X:0004 Y:0000 S:0363 D:0000 DB:7E P:84 V:23  H:250
C04767 $D0 $0E         BNE $C04777                     A:0000 X:0004 Y:0000 S:0363 D:0000 DB:7E P:06 V:23  H:260
C04769 $A5 $32         LDA $32 [000032] = $0002        A:0000 X:0004 Y:0000 S:0363 D:0000 DB:7E P:06 V:23  H:263
C0476B $D0 $01         BNE $C0476E                     A:0002 X:0004 Y:0000 S:0363 D:0000 DB:7E P:04 V:23  H:270
C0476E $E6 $32         INC $32 [000032] = $0002        A:0002 X:0004 Y:0000 S:0363 D:0000 DB:7E P:04 V:23  H:275
C04770 $1A             INC                             A:0002 X:0004 Y:0000 S:0363 D:0000 DB:7E P:04 V:23  H:298
C04771 $C5 $30         CMP $30 [000030] = $0003        A:0003 X:0004 Y:0000 S:0363 D:0000 DB:7E P:04 V:23  H:301
C04773 $B0 $0F         BCS $C04784                     A:0003 X:0004 Y:0000 S:0363 D:0000 DB:7E P:07 V:23  H:308
C04784 $98             TYA                             A:0003 X:0004 Y:0000 S:0363 D:0000 DB:7E P:07 V:23  H:312
C04785 $18             CLC                             A:0000 X:0004 Y:0000 S:0363 D:0000 DB:7E P:07 V:23  H:315
C04786 $69 $20 $00     ADC #$0020                      A:0000 X:0004 Y:0000 S:0363 D:0000 DB:7E P:06 V:23  H:318
C04789 $48             PHA                             A:0020 X:0004 Y:0000 S:0363 D:0000 DB:7E P:04 V:23  H:323
