C60821 $8D $67 $AD     STA $AD67 [7EAD67] = $FFF8      A:0000 X:0010 Y:0000 S:0375 D:0000 DB:7E P:06 V:259 H:3  
C60824 $18             CLC                             A:0000 X:0010 Y:0000 S:0375 D:0000 DB:7E P:06 V:259 H:11 
C60825 $6D $94 $96     ADC $9694 [7E9694] = $0058      A:0000 X:0010 Y:0000 S:0375 D:0000 DB:7E P:06 V:259 H:14 
C60828 $8D $AB $99     STA $99AB [7E99AB] = $0000      A:0058 X:0010 Y:0000 S:0375 D:0000 DB:7E P:04 V:259 H:23 
C6082B $AD $A9 $99     LDA $99A9 [7E99A9] = $FFFF      A:0058 X:0010 Y:0000 S:0375 D:0000 DB:7E P:04 V:259 H:31 
C6082E $0A             ASL                             A:FFFF X:0010 Y:0000 S:0375 D:0000 DB:7E P:84 V:259 H:40 
C6082F $0A             ASL                             A:FFFE X:0010 Y:0000 S:0375 D:0000 DB:7E P:85 V:259 H:43 
C60830 $0A             ASL                             A:FFFC X:0010 Y:0000 S:0375 D:0000 DB:7E P:85 V:259 H:46 
C60831 $48             PHA                             A:FFF8 X:0010 Y:0000 S:0375 D:0000 DB:7E P:85 V:259 H:49 
C60832 $38             SEC                             A:FFF8 X:0010 Y:0000 S:0373 D:0000 DB:7E P:85 V:259 H:56 
C60833 $ED $9A $96     SBC $969A [7E969A] = $00F0      A:FFF8 X:0010 Y:0000 S:0373 D:0000 DB:7E P:85 V:259 H:59 
C60836 $8D $65 $AD     STA $AD65 [7EAD65] = $0A08      A:FF08 X:0010 Y:0000 S:0373 D:0000 DB:7E P:85 V:259 H:67 
C60839 $68             PLA                             A:FF08 X:0010 Y:0000 S:0373 D:0000 DB:7E P:85 V:259 H:76 
C6083A $38             SEC                             A:FFF8 X:0010 Y:0000 S:0375 D:0000 DB:7E P:85 V:259 H:84 
C6083B $ED $96 $96     SBC $9696 [7E9696] = $0078      A:FFF8 X:0010 Y:0000 S:0375 D:0000 DB:7E P:85 V:259 H:87 
C6083E $8D $A9 $99     STA $99A9 [7E99A9] = $FFFF      A:FF80 X:0010 Y:0000 S:0375 D:0000 DB:7E P:85 V:259 H:96 
C60841 $AD $AD $99     LDA $99AD [7E99AD] = $FFFF      A:FF80 X:0010 Y:0000 S:0375 D:0000 DB:7E P:85 V:259 H:104
C60844 $0A             ASL                             A:FFFF X:0010 Y:0000 S:0375 D:0000 DB:7E P:85 V:259 H:113
C60845 $0A             ASL                             A:FFFE X:0010 Y:0000 S:0375 D:0000 DB:7E P:85 V:259 H:116
C60846 $0A             ASL                             A:FFFC X:0010 Y:0000 S:0375 D:0000 DB:7E P:85 V:259 H:119
C60847 $48             PHA                             A:FFF8 X:0010 Y:0000 S:0375 D:0000 DB:7E P:85 V:259 H:122
C60848 $38             SEC                             A:FFF8 X:0010 Y:0000 S:0373 D:0000 DB:7E P:85 V:259 H:129
C60849 $ED $9C $96     SBC $969C [7E969C] = $00D0      A:FFF8 X:0010 Y:0000 S:0373 D:0000 DB:7E P:85 V:259 H:132
C6084C $8D $69 $AD     STA $AD69 [7EAD69] = $0B48      A:FF28 X:0010 Y:0000 S:0373 D:0000 DB:7E P:85 V:259 H:150
