01916F $20 $0B $FE     JSR $FE0B [01FE0B] = $8B        A:CDC8 X:0D20 Y:CDC8 S:1FCB D:0000 DB:01 P:nvMxdiZc V:198 H:304
01E921 $B9 $00 $00     LDA $0000,Y [049A30] = $00      A:CD25 X:0008 Y:9A30 S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:212
01E924 $C8             INY                             A:CD00 X:0008 Y:9A30 S:1FC2 D:2100 DB:04 P:nvMxdiZc V:200 H:222
01E925 $85 $80         STA $80 [002180] = $00          A:CD00 X:0008 Y:9A31 S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:225
01E927 $64 $80         STZ $80 [002180] = $00          A:CD00 X:0008 Y:9A31 S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:231
01E929 $CA             DEX                             A:CD00 X:0008 Y:9A31 S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:236
01E92A $D0 $F5         BNE $01E921                     A:CD00 X:0007 Y:9A31 S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:240
01E921 $B9 $00 $00     LDA $0000,Y [049A31] = $11      A:CD00 X:0007 Y:9A31 S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:245
01E924 $C8             INY                             A:CD11 X:0007 Y:9A31 S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:255
01E925 $85 $80         STA $80 [002180] = $00          A:CD11 X:0007 Y:9A32 S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:258
01E927 $64 $80         STZ $80 [002180] = $00          A:CD11 X:0007 Y:9A32 S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:264
01E929 $CA             DEX                             A:CD11 X:0007 Y:9A32 S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:269
01E92A $D0 $F5         BNE $01E921                     A:CD11 X:0006 Y:9A32 S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:273
01E921 $B9 $00 $00     LDA $0000,Y [049A32] = $06      A:CD11 X:0006 Y:9A32 S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:290
01E924 $C8             INY                             A:CD06 X:0006 Y:9A32 S:1FC2 D:2100 DB:04 P:nvMxdizc V:200 H:300
01E925 $85 $80         STA $80 [002180] = $00          A:CD06 X:0006 Y:9A33 S:1FC2 D:2100 DB:04 P:NvMxdizc V:200 H:303
