
018262 $C8             INY                             A:0010 X:0796 Y:C722 S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:302
018263 $A9 $00         LDA #$00                        A:0010 X:0796 Y:C723 S:1FC0 D:192B DB:7F P:NvMxdizC V:34  H:306
018265 $99 $00 $00     STA $0000,Y [7FC723] = $00      A:0000 X:0796 Y:C723 S:1FC0 D:192B DB:7F P:nvMxdiZC V:34  H:310
018268 $C8             INY                             A:0000 X:0796 Y:C723 S:1FC0 D:192B DB:7F P:nvMxdiZC V:34  H:319
018269 $CE $33 $19     DEC $1933 [7F1933] = $03        A:0000 X:0796 Y:C724 S:1FC0 D:192B DB:7F P:NvMxdizC V:34  H:323
01826C $D0 $EC         BNE $01825A                     A:0000 X:0796 Y:C724 S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:333
01825A $BF $20 $CA $04 LDA $04CA20,X [04D1B6] = $10    A:0000 X:0796 Y:C724 S:1FC0 D:192B DB:7F P:nvMxdizC V:34  H:339
01825E $E8             INX                             A:0010 X:0796 Y:C724 S:1FC0 D:192B DB:7F P:nvMxdizC V:35  H:9  
01825F $99 $00 $00     STA $0000,Y [7FC724] = $10      A:0010 X:0797 Y:C724 S:1FC0 D:192B DB:7F P:nvMxdizC V:35  H:12 
018262 $C8             INY                             A:0010 X:0797 Y:C724 S:1FC0 D:192B DB:7F P:nvMxdizC V:35  H:22 
018263 $A9 $00         LDA #$00                        A:0010 X:0797 Y:C725 S:1FC0 D:192B DB:7F P:NvMxdizC V:35  H:25 
018265 $99 $00 $00     STA $0000,Y [7FC725] = $00      A:0000 X:0797 Y:C725 S:1FC0 D:192B DB:7F P:nvMxdiZC V:35  H:29 
018268 $C8             INY                             A:0000 X:0797 Y:C725 S:1FC0 D:192B DB:7F P:nvMxdiZC V:35  H:39 
018269 $CE $33 $19     DEC $1933 [7F1933] = $02        A:0000 X:0797 Y:C726 S:1FC0 D:192B DB:7F P:NvMxdizC V:35  H:42 
01826C $D0 $EC         BNE $01825A                     A:0000 X:0797 Y:C726 S:1FC0 D:192B DB:7F P:nvMxdizC V:35  H:54 
01825A $BF $20 $CA $04 LDA $04CA20,X [04D1B7] = $10    A:0000 X:0797 Y:C726 S:1FC0 D:192B DB:7F P:nvMxdizC V:35  H:59 
01825E $E8             INX                             A:0010 X:0797 Y:C726 S:1FC0 D:192B DB:7F P:nvMxdizC V:35  H:69 
01825F $99 $00 $00     STA $0000,Y [7FC726] = $10      A:0010 X:0798 Y:C726 S:1FC0 D:192B DB:7F P:nvMxdizC V:35  H:73 
018262 $C8             INY                             A:0010 X:0798 Y:C726 S:1FC0 D:192B DB:7F P:nvMxdizC V:35  H:82 
018263 $A9 $00         LDA #$00                        A:0010 X:0798 Y:C727 S:1FC0 D:192B DB:7F P:NvMxdizC V:35  H:86 
018265 $99 $00 $00     STA $0000,Y [7FC727] = $00      A:0000 X:0798 Y:C727 S:1FC0 D:192B DB:7F P:nvMxdiZC V:35  H:90 
018268 $C8             INY                             A:0000 X:0798 Y:C727 S:1FC0 D:192B DB:7F P:nvMxdiZC V:35  H:99 
018269 $CE $33 $19     DEC $1933 [7F1933] = $01        A:0000 X:0798 Y:C728 S:1FC0 D:192B DB:7F P:NvMxdizC V:35  H:103
01826C $D0 $EC         BNE $01825A                     A:0000 X:0798 Y:C728 S:1FC0 D:192B DB:7F P:nvMxdiZC V:35  H:114
01826E $28             PLP                             A:0000 X:0798 Y:C728 S:1FC0 D:192B DB:7F P:nvMxdiZC V:35  H:118
01826F $AB             PLB                             A:0000 X:0798 Y:C728 S:1FC1 D:192B DB:7F P:nvmxdizc V:35  H:125
018270 $60             RTS                             A:0000 X:0798 Y:C728 S:1FC2 D:192B DB:01 P:nvmxdizc V:35  H:132
018218 $A5 $00         LDA $00 [00192B] = $0780        A:0000 X:0798 Y:C728 S:1FC4 D:192B DB:01 P:nvmxdizc V:35  H:153
01821A $18             CLC                             A:0780 X:0798 Y:C728 S:1FC4 D:192B DB:01 P:nvmxdizc V:35  H:162
01821B $69 $18 $00     ADC #$0018                      A:0780 X:0798 Y:C728 S:1FC4 D:192B DB:01 P:nvmxdizc V:35  H:166
01821E $85 $00         STA $00 [00192B] = $0780        A:0798 X:0798 Y:C728 S:1FC4 D:192B DB:01 P:nvmxdizc V:35  H:172
018220 $A5 $02         LDA $02 [00192D] = $C708        A:0798 X:0798 Y:C728 S:1FC4 D:192B DB:01 P:nvmxdizc V:35  H:181
018222 $18             CLC                             A:C708 X:0798 Y:C728 S:1FC4 D:192B DB:01 P:Nvmxdizc V:35  H:191
018223 $69 $20 $00     ADC #$0020                      A:C708 X:0798 Y:C728 S:1FC4 D:192B DB:01 P:Nvmxdizc V:35  H:194
